"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
47,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",47,"Sla Kram",NA,"","Khum","Commune","",""
48,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",48,"Svay Chek",NA,"","Khum","Commune","",""
49,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",49,"Ta Baen",NA,"","Khum","Commune","",""
50,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",50,"Ta Phou",NA,"","Khum","Commune","",""
51,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",51,"Treas",NA,"","Khum","Commune","",""
52,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",52,"Banteay Chhmar",NA,"","Khum","Commune","",""
53,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",53,"Kouk Kakthen",NA,"","Khum","Commune","",""
54,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",54,"Kouk Romiet",NA,"","Khum","Commune","",""
55,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",55,"Kumru",NA,"","Khum","Commune","",""
56,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",56,"Phum Thmei",NA,"","Khum","Commune","",""
57,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",57,"Thma Puok",NA,"","Khum","Commune","",""
58,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",58,"Kaoh Chiveang",NA,"","Khum","Commune","",""
59,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",59,"Peam Aek",NA,"","Khum","Commune","",""
60,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",60,"Preaek Khpob",NA,"","Khum","Commune","",""
61,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",61,"Preaek Luong",NA,"","Khum","Commune","",""
62,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",62,"Preaek Norint",NA,"","Khum","Commune","",""
63,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",63,"Prey Chas",NA,"","Khum","Commune","",""
64,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",64,"Samraong Knong",NA,"","Khum","Commune","",""
65,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",65,"Bay Damram",NA,"","Khum","Commune","",""
66,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",66,"Chaeng Mean Chey",NA,"","Khum","Commune","",""
67,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",67,"Chheu Teal",NA,"","Khum","Commune","",""
68,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",68,"Kantueu Muoy",NA,"","Khum","Commune","",""
69,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",69,"Kantueu Pir",NA,"","Khum","Commune","",""
70,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",70,"Phnum Sampov",NA,"","Khum","Commune","",""
71,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",71,"Snoeng",NA,"","Khum","Commune","",""
72,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",72,"Ta Kream",NA,"","Khum","Commune","",""
73,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",73,"Anlong Run",NA,"","Khum","Commune","",""
74,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",74,"Bansay Traeng",NA,"","Khum","Commune","",""
75,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",75,"Boeng Pring",NA,"","Khum","Commune","",""
76,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",76,"Chrey",NA,"","Khum","Commune","",""
77,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",77,"Chrouy Sdau",NA,"","Khum","Commune","",""
78,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",78,"Kouk Khmum",NA,"","Khum","Commune","",""
79,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",79,"Ou Ta Ki",NA,"","Khum","Commune","",""
80,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",80,"Rung Chrey",NA,"","Khum","Commune","",""
81,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",81,"Ta Meun",NA,"","Khum","Commune","",""
82,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",82,"Ta Pung",NA,"","Khum","Commune","",""
83,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",83,"Ampil Pram Daeum",NA,"","Khum","Commune","",""
84,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",84,"Bavel",NA,"","Khum","Commune","",""
85,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",85,"Kdol",NA,"","Khum","Commune","",""
86,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",86,"Khnach Romeas",NA,"","Khum","Commune","",""
87,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",87,"Lvea",NA,"","Khum","Commune","",""
88,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",88,"Prey Khpos",NA,"","Khum","Commune","",""
89,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",89,"Chrey",NA,"","Khum","Commune","",""
90,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",90,"Kakaoh",NA,"","Khum","Commune","",""
91,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",91,"Kear",NA,"","Khum","Commune","",""
92,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",92,"Moung Ruessei",NA,"","Khum","Commune","",""
93,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",93,"n.a. ( 346)",NA,"","Khum","Commune","",""
94,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",94,"n.a. ( 423)",NA,"","Khum","Commune","",""
95,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",95,"Preaek Chik",NA,"","Khum","Commune","",""
96,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",96,"Prey Svay",NA,"","Khum","Commune","",""
97,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",97,"Prey Touch",NA,"","Khum","Commune","",""
98,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",98,"Robas Mongkol",NA,"","Khum","Commune","",""
99,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",99,"Ruessei Krang",NA,"","Khum","Commune","",""
100,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",100,"Ta Loas",NA,"","Khum","Commune","",""
101,40,"KHM","Cambodia",2,"Batdâmbâng",14,"Phnum Proek",101,"n.a. ( 244)",NA,"","Khum","Commune","",""
102,40,"KHM","Cambodia",2,"Batdâmbâng",15,"Rotanak Mondol",102,"Andaeuk Haeb",NA,"","Khum","Commune","",""
103,40,"KHM","Cambodia",2,"Batdâmbâng",15,"Rotanak Mondol",103,"Phlov Meas",NA,"","Khum","Commune","",""
104,40,"KHM","Cambodia",2,"Batdâmbâng",15,"Rotanak Mondol",104,"Sdau",NA,"","Khum","Commune","",""
105,40,"KHM","Cambodia",2,"Batdâmbâng",15,"Rotanak Mondol",105,"Traeng",NA,"","Khum","Commune","",""
106,40,"KHM","Cambodia",2,"Batdâmbâng",16,"Samlout",106,"n.a. ( 462)",NA,"","Khum","Commune","",""
107,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",107,"Anlong Vil",NA,"","Khum","Commune","",""
108,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",108,"Kampong Preah",NA,"","Khum","Commune","",""
109,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",109,"Kampong Pring",NA,"","Khum","Commune","",""
110,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",110,"n.a. ( 390)",NA,"","Khum","Commune","",""
111,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",111,"Norea",NA,"","Khum","Commune","",""
112,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",112,"Ou Dambang Muoy",NA,"","Khum","Commune","",""
113,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",113,"Ou Dambang Pir",NA,"","Khum","Commune","",""
114,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",114,"Reang Kesei",NA,"","Khum","Commune","",""
115,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",115,"Roka",NA,"","Khum","Commune","",""
116,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",116,"Ta Pon",NA,"","Khum","Commune","",""
117,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",117,"Voat Ta Muem",NA,"","Khum","Commune","",""
118,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",118,"Chamkar Samraong",NA,"","Khum","Commune","",""
119,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",119,"Kdol Doun Teav",NA,"","Khum","Commune","",""
120,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",120,"Ou Char",NA,"","Khum","Commune","",""
121,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",121,"Ou Mal",NA,"","Khum","Commune","",""
122,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",122,"Preaek Preah Sdach",NA,"","Khum","Commune","",""
123,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",123,"Rotanak",NA,"","Khum","Commune","",""
124,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",124,"Sla Kaet",NA,"","Khum","Commune","",""
125,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",125,"Svay Pao",NA,"","Khum","Commune","",""
126,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",126,"Tuol Ta Aek",NA,"","Khum","Commune","",""
127,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",127,"Voat Kor",NA,"","Khum","Commune","",""
128,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",128,"Angk Phnum Touch",NA,"","Khum","Commune","",""
129,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",129,"Angkor Chey",NA,"","Khum","Commune","",""
130,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",130,"Champei",NA,"","Khum","Commune","",""
131,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",131,"Daeum Doung",NA,"","Khum","Commune","",""
132,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",132,"Dambouk Khpos",NA,"","Khum","Commune","",""
133,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",133,"Dan Koum",NA,"","Khum","Commune","",""
134,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",134,"Mroum",NA,"","Khum","Commune","",""
135,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",135,"Phnum Kong",NA,"","Khum","Commune","",""
136,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",136,"Praphnum",NA,"","Khum","Commune","",""
137,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",137,"Samlanh",NA,"","Khum","Commune","",""
138,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",138,"Tani",NA,"","Khum","Commune","",""
139,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",139,"Banteay Meas Khang K",NA,"","Khum","Commune","",""
140,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",140,"Banteay Meas Khang L",NA,"","Khum","Commune","",""
141,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",141,"Prey Tonle",NA,"","Khum","Commune","",""
142,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",142,"Samraong Kraom",NA,"","Khum","Commune","",""
143,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",143,"Samraong Leu",NA,"","Khum","Commune","",""
144,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",144,"Sdach Kong Khang Che",NA,"","Khum","Commune","",""
145,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",145,"Sdach Kong Khang Lec",NA,"","Khum","Commune","",""
146,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",146,"Sdach Kong Khang Tbo",NA,"","Khum","Commune","",""
147,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",147,"Tnaot Chong Srang",NA,"","Khum","Commune","",""
148,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",148,"Trapeang Sala Khang",NA,"","Khum","Commune","",""
149,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",149,"Tuk Meas Khang Kaeut",NA,"","Khum","Commune","",""
150,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",150,"Tuk Meas Khang Lech",NA,"","Khum","Commune","",""
151,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",151,"Voat Angk Khang Cheu",NA,"","Khum","Commune","",""
152,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",152,"Voat Angk Khang Tbou",NA,"","Khum","Commune","",""
153,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",153,"Baniev",NA,"","Khum","Commune","",""
154,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",154,"Boeng Nimol",NA,"","Khum","Commune","",""
155,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",155,"Chhuk",NA,"","Khum","Commune","",""
156,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",156,"Doun Yay",NA,"","Khum","Commune","",""
157,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",157,"Krang Sbov",NA,"","Khum","Commune","",""
158,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",158,"Krang Snay",NA,"","Khum","Commune","",""
159,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",159,"Lbaeuk",NA,"","Khum","Commune","",""
160,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",160,"Mean Chey",NA,"","Khum","Commune","",""
161,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",161,"Nareay",NA,"","Khum","Commune","",""
162,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",162,"Satv Pong",NA,"","Khum","Commune","",""
163,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",163,"Tramaeng",NA,"","Khum","Commune","",""
164,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",164,"Trapeang Bei",NA,"","Khum","Commune","",""
165,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri",165,"Chres",NA,"","Khum","Commune","",""
166,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri",166,"Chumpu Voan",NA,"","Khum","Commune","",""
167,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri",167,"Snay Anhchet",NA,"","Khum","Commune","",""
168,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri",168,"Srae Chaeng",NA,"","Khum","Commune","",""
169,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri",169,"Srae Knong",NA,"","Khum","Commune","",""
170,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri",170,"Srae Samraong",NA,"","Khum","Commune","",""
171,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri",171,"Trapeang Reang",NA,"","Khum","Commune","",""
172,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",172,"Angkor Meas",NA,"","Khum","Commune","",""
173,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",173,"Damnak Sokram",NA,"","Khum","Commune","",""
174,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",174,"Dang Tong",NA,"","Khum","Commune","",""
175,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",175,"Khcheay Khang Cheung",NA,"","Khum","Commune","",""
176,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",176,"Khcheay Khang Tboung",NA,"","Khum","Commune","",""
177,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",177,"L'ang",NA,"","Khum","Commune","",""
178,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",178,"Mean Ritth",NA,"","Khum","Commune","",""
179,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",179,"Srae Chea Khang Cheu",NA,"","Khum","Commune","",""
180,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",180,"Srae Chea Khang Tbou",NA,"","Khum","Commune","",""
181,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",181,"Totung",NA,"","Khum","Commune","",""
182,40,"KHM","Cambodia",3,"Kâmpôt",24,"Kampong Bay",182,"Andoung Khmaer",NA,"","Khum","Commune","",""
183,40,"KHM","Cambodia",3,"Kâmpôt",24,"Kampong Bay",183,"Kampong Bay",NA,"","Khum","Commune","",""
184,40,"KHM","Cambodia",3,"Kâmpôt",24,"Kampong Bay",184,"Kampong Kandal",NA,"","Khum","Commune","",""
185,40,"KHM","Cambodia",3,"Kâmpôt",24,"Kampong Bay",185,"Krang Ampil",NA,"","Khum","Commune","",""
186,40,"KHM","Cambodia",3,"Kâmpôt",24,"Kampong Bay",186,"Traeuy Kaoh",NA,"","Khum","Commune","",""
187,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",187,"Boeng Sala Khang Che",NA,"","Khum","Commune","",""
188,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",188,"Boeng Sala Khang Tbo",NA,"","Khum","Commune","",""
189,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",189,"Damnak Kantuot Khang",NA,"","Khum","Commune","",""
190,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",190,"Kampong Trach Khang",NA,"","Khum","Commune","",""
191,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",191,"Kanthaor Khang Cheun",NA,"","Khum","Commune","",""
192,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",192,"Kanthaor Khang kaeut",NA,"","Khum","Commune","",""
193,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",193,"Kanthaor Khang Lech",NA,"","Khum","Commune","",""
194,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",194,"Preaek Kroes",NA,"","Khum","Commune","",""
195,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",195,"Ruessei srok Khang K",NA,"","Khum","Commune","",""
196,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",196,"Ruessei Srok Khang L",NA,"","Khum","Commune","",""
197,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",197,"Svay Tong Khang Cheu",NA,"","Khum","Commune","",""
198,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",198,"Svay Tong Khang Tbou",NA,"","Khum","Commune","",""
199,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",199,"Boeng Tuk",NA,"","Khum","Commune","",""
200,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",200,"Chum Kriel",NA,"","Khum","Commune","",""
201,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",201,"Kampong Kraeng",NA,"","Khum","Commune","",""
202,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",202,"Kampong Samraong",NA,"","Khum","Commune","",""
203,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",203,"Kandal",NA,"","Khum","Commune","",""
204,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",204,"Kaoh Touch",NA,"","Khum","Commune","",""
205,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",205,"Koun Satv",NA,"","Khum","Commune","",""
206,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",206,"Meakprang",NA,"","Khum","Commune","",""
207,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",207,"n.a. ( 1400)",NA,"","Khum","Commune","",""
208,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",208,"Preaek Tnaot",NA,"","Khum","Commune","",""
209,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",209,"Prey Khmum",NA,"","Khum","Commune","",""
210,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",210,"Prey Thnang",NA,"","Khum","Commune","",""
211,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",211,"Stueng Kaev",NA,"","Khum","Commune","",""
212,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot",212,"Thmei",NA,"","Khum","Commune","",""
