"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
50,40,"KHM","Cambodia",6,"Kâmpóng Spœ",50,"Phnum Sruoch","KH.KS.PS",NA,"","Srok","District","",""
51,40,"KHM","Cambodia",6,"Kâmpóng Spœ",51,"Samraong Tong","KH.KS.SY",NA,"","Srok","District","",""
52,40,"KHM","Cambodia",6,"Kâmpóng Spœ",52,"Thpong","KH.KS.TP",NA,"","Srok","District","",""
53,40,"KHM","Cambodia",7,"Kâmpóng Thum",53,"Baray","KH.KT.BR",NA,"","Srok","District","",""
54,40,"KHM","Cambodia",7,"Kâmpóng Thum",54,"Kampong Svay","KH.KT.KS",NA,"","Srok","District","",""
55,40,"KHM","Cambodia",7,"Kâmpóng Thum",55,"Prasat Balangk","KH.KT.PB",NA,"","Srok","District","",""
56,40,"KHM","Cambodia",7,"Kâmpóng Thum",56,"Prasat Sambour","KH.KT.PS",NA,"","Srok","District","",""
57,40,"KHM","Cambodia",7,"Kâmpóng Thum",57,"Sandan","KH.KT.SD",NA,"","Srok","District","",""
58,40,"KHM","Cambodia",7,"Kâmpóng Thum",58,"Santuk","KH.KT.ST",NA,"","Srok","District","",""
59,40,"KHM","Cambodia",7,"Kâmpóng Thum",59,"Stoung","KH.KT.SG",NA,"","Srok","District","",""
60,40,"KHM","Cambodia",7,"Kâmpóng Thum",60,"Stueng Saen","KH.KT.SS",NA,"","Srok","District","",""
61,40,"KHM","Cambodia",8,"Kândal",61,"Angk Snuol","KH.KN.AS",NA,"","Srok","District","",""
62,40,"KHM","Cambodia",8,"Kândal",62,"Kandal Stueng","KH.KN.KD",NA,"","Srok","District","",""
63,40,"KHM","Cambodia",8,"Kândal",63,"Kaoh Thum","KH.KN.KT",NA,"","Srok","District","",""
64,40,"KHM","Cambodia",8,"Kândal",64,"Khsach Kandal","KH.KN.KK",NA,"","Srok","District","",""
65,40,"KHM","Cambodia",8,"Kândal",65,"Kien Svay","KH.KN.KS",NA,"","Srok","District","",""
66,40,"KHM","Cambodia",8,"Kândal",66,"Leuk Daek","KH.KN.LD",NA,"","Srok","District","",""
67,40,"KHM","Cambodia",8,"Kândal",67,"Lvea Aem","KH.KN.LA",NA,"","Srok","District","",""
68,40,"KHM","Cambodia",8,"Kândal",68,"Mukh Kampul","KH.KN.MK",NA,"","Srok","District","",""
69,40,"KHM","Cambodia",8,"Kândal",69,"Ponhea Lueu","KH.KN.PL",NA,"","Srok","District","",""
70,40,"KHM","Cambodia",8,"Kândal",70,"S'ang","KH.KN.SA",NA,"","Srok","District","",""
71,40,"KHM","Cambodia",8,"Kândal",71,"Ta Khmau","KH.KN.TK",NA,"","Srok","District","",""
72,40,"KHM","Cambodia",9,"Kaôh Kong",72,"Botum Sakor","KH.KK.BS",NA,"","Srok","District","",""
73,40,"KHM","Cambodia",9,"Kaôh Kong",73,"Kampong Seila","KH.KK.KP",NA,"","Srok","District","",""
74,40,"KHM","Cambodia",9,"Kaôh Kong",74,"Kaoh Kong","KH.KK.KK",NA,"","Srok","District","",""
75,40,"KHM","Cambodia",9,"Kaôh Kong",75,"Kiri Sakor","KH.KK.KS",NA,"","Srok","District","",""
76,40,"KHM","Cambodia",9,"Kaôh Kong",76,"Mondol Seima","KH.KK.MS",NA,"","Srok","District","",""
77,40,"KHM","Cambodia",9,"Kaôh Kong",77,"Smach Mean Chey","KH.KK.SM",NA,"","Srok","District","",""
78,40,"KHM","Cambodia",9,"Kaôh Kong",78,"Srae Ambel","KH.KK.SA",NA,"","Srok","District","",""
79,40,"KHM","Cambodia",9,"Kaôh Kong",79,"Thma Bang","KH.KK.TB",NA,"","Srok","District","",""
80,40,"KHM","Cambodia",10,"Kep",80,"Kaeb","",NA,"","Srok","District","",""
81,40,"KHM","Cambodia",11,"Krâchéh",81,"Chhloung","KH.KH.CL",NA,"","Srok","District","",""
82,40,"KHM","Cambodia",11,"Krâchéh",82,"Kracheh","KH.KH.KR",NA,"","Srok","District","",""
